"filename", "language", "YAML", "Dart", "Properties", "Markdown", "Shell Script", "Groovy", "Swift", "C++", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\README.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\analysis_options.yaml", "YAML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 16, 96
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 12, 68
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 9, 2, 34
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\main\kotlin\com\resocoder\clean_architecture_tdd_course\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 1, 9
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\gradle.properties", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
